trait,species,mean,max
Leaf.length,Oxalis.thompsoniae,0.5,0.5
Leaf.length,Parentucellia.latifolia,1.5,1.5
Leaf.length,Parentucellia.viscosa,4.2,4.2
Leaf.length,Paronychia.brasiliana,0.8,0.8
Leaf.length,Paronychia.franciscana,1,1
Leaf.length,Paspalum.longifolium,35,35
Leaf.length,Petrorhagia.dubia,5,5
Leaf.length,Petrorhagia.nanteuilii,7,7
Leaf.length,Plantago.alpestris,8,8
Leaf.length,Plantago.antarctica,10,10
Leaf.length,Plantago.cladarophylla,26,26
Leaf.length,Plantago.coronopus,7,7
Leaf.length,Plantago.cunninghamii,10,10
Leaf.length,Plantago.debilis,15,15
Leaf.length,Plantago.drummondii,14,14
Leaf.length,Plantago.euryphylla,10.5,10.5
Leaf.length,Plantago.gaudichaudii,20,20
Leaf.length,Plantago.glacialis,4,4
Leaf.length,Plantago.hedleyi,20,20
Leaf.length,Plantago.hispida,9,9
Leaf.length,Plantago.lanceolata,20,20
Leaf.length,Plantago.major,20,20
Leaf.length,Plantago.muelleri,8,8
Leaf.length,Plantago.myosuros,10,10
Leaf.length,Plantago.palustris,10,10
Leaf.length,Plantago.scabra,6,6
Leaf.length,Plantago.turrifera,10,10
Leaf.length,Plantago.varia,20,20
Leaf.length,Poa.affinis,30,30
Leaf.length,Poa.annua,12,12
Leaf.length,Poa.bulbosa,10,10
Leaf.length,Poa.clivicola,15,15
Leaf.length,Poa.compressa,12,12
Leaf.length,Poa.costiniana,40,40
Leaf.length,Poa.ensiformis,30,30
Leaf.length,Poa.fax,5,5
Leaf.length,Poa.helmsii,50,50
Leaf.length,Poa.hiemata,25,25
Leaf.length,Poa.hookeri,15,15
Leaf.length,Poa.induta,25,25
Leaf.length,Poa.infirma,8,8
Leaf.length,Poa.labillardierei,80,80
Leaf.length,Pseudognaphalium.luteoalbum,5,5
Leaf.length,Rosa.bracteata,3.5,3.5
Leaf.length,Rosa.canina,4,4
Leaf.length,Rosa.laevigata,6,6
Leaf.length,Rosa.roxburghii,3,3
Leaf.length,Rosa.rubiginosa,2.5,2.5
Leaf.length,Rumex.bidens,20,20
Leaf.length,Rumex.brownii,12,12
Leaf.length,Rumex.conglomeratus,6,6
Leaf.length,Rumex.crispus,30,30
Leaf.length,Rumex.crystallinus,10,10
Leaf.length,Rumex.dumosus,20,20
