trait,species,mean,max
Leaf.width,Panicum.bisulcatum,13,13
Leaf.width,Panicum.bulbosum,12,12
Leaf.width,Panicum.buncei,6,6
Leaf.width,Panicum.capillare,18,18
Leaf.width,Panicum.coloratum,15,15
Leaf.width,Panicum.decompositum,9.5,9.5
Leaf.width,Panicum.effusum,6,6
Leaf.width,Panicum.gilvum,8,8
Leaf.width,Panicum.lachnophyllum,9,9
Leaf.width,Panicum.laevinode,14,14
Leaf.width,Panicum.miliaceum,25,25
Leaf.width,Panicum.obseptum,4,4
Leaf.width,Panicum.paludosum,20,20
Leaf.width,Panicum.pygmaeum,7,7
Leaf.width,Panicum.queenslandicum,3.5,3.5
Leaf.width,Panicum.racemosum,5,5
Leaf.width,Panicum.repens,6,6
Leaf.width,Panicum.schinzii,10,10
Leaf.width,Panicum.simile,3.5,3.5
Leaf.width,Parentucellia.latifolia,7,7
Leaf.width,Parentucellia.viscosa,12,12
Leaf.width,Paronychia.brasiliana,2,2
Leaf.width,Paronychia.franciscana,2,2
Leaf.width,Paspalum.ciliatifolium,20,20
Leaf.width,Paspalum.conjugatum,13,13
Leaf.width,Paspalum.dilatatum,12,12
Leaf.width,Paspalum.distichum,9,9
Leaf.width,Paspalum.longifolium,9,9
Leaf.width,Paspalum.mandiocanum,20,20
Leaf.width,Paspalum.nicorae,3.5,3.5
Leaf.width,Paspalum.notatum,10,10
Leaf.width,Paspalum.orbiculare,7.5,7.5
Leaf.width,Paspalum.paniculatum,19,19
Leaf.width,Paspalum.quadrifarium,8,8
Leaf.width,Paspalum.regnellii,20,20
Leaf.width,Paspalum.urvillei,15,15
Leaf.width,Paspalum.vaginatum,7,7
Leaf.width,Pentaschistis.airoides,1.5,1.5
Leaf.width,Petrorhagia.dubia,3.5,3.5
Leaf.width,Petrorhagia.nanteuilii,2,2
Leaf.width,Phalaris.angusta,11,11
Leaf.width,Phalaris.aquatica,14,14
Leaf.width,Phalaris.arundinacea,25,25
Leaf.width,Phalaris.canariensis,12,12
Leaf.width,Phalaris.coerulescens,7,7
Leaf.width,Phalaris.minor,13,13
Leaf.width,Phalaris.paradoxa,9,9
Leaf.width,Plantago.alpestris,20,20
Leaf.width,Plantago.antarctica,20,20
Leaf.width,Plantago.cladarophylla,22,22
Leaf.width,Plantago.coronopus,20,20
Leaf.width,Plantago.cunninghamii,15,15
Leaf.width,Plantago.debilis,40,40
Leaf.width,Plantago.drummondii,24,24
Leaf.width,Plantago.euryphylla,40,40
Leaf.width,Plantago.gaudichaudii,22,22
Leaf.width,Plantago.glacialis,18,18
Leaf.width,Plantago.hedleyi,40,40
Leaf.width,Plantago.hispida,12,12
Leaf.width,Plantago.lanceolata,30,30
Leaf.width,Plantago.major,100,100
Leaf.width,Plantago.muelleri,15,15
Leaf.width,Plantago.myosuros,20,20
Leaf.width,Plantago.palustris,10,10
Leaf.width,Plantago.scabra,20,20
Leaf.width,Plantago.turrifera,25,25
Leaf.width,Plantago.varia,20,20
Leaf.width,Poa.annua,5,5
Leaf.width,Poa.bulbosa,2.5,2.5
Leaf.width,Poa.cheelii,4,4
Leaf.width,Poa.clivicola,0.4,0.4
Leaf.width,Poa.compressa,4,4
Leaf.width,Poa.costiniana,1.75,1.75
Leaf.width,Poa.ensiformis,5,5
Leaf.width,Poa.fawcettiae,1,1
Leaf.width,Poa.fax,2.5,2.5
Leaf.width,Poa.fordeana,4,4
Leaf.width,Poa.induta,0.8,0.8
Leaf.width,Poa.infirma,4,4
Leaf.width,Poa.labillardierei,3.5,3.5
Leaf.width,Poa.meionectes,0.3,0.3
Leaf.width,Poa.petrophila,0.7,0.7
Leaf.width,Poa.phillipsiana,1.25,1.25
Leaf.width,Poa.poiformis,1.5,1.5
Leaf.width,Poa.pratensis,6,6
Leaf.width,Poa.queenslandica,15,15
Leaf.width,Poa.saxicola,4,4
Leaf.width,Poa.sieberiana,0.7,0.7
Leaf.width,Poa.tenera,1.5,1.5
Leaf.width,Poa.trivialis,6,6
Leaf.width,Pseudognaphalium.luteoalbum,5,5
Leaf.width,Rosa.bracteata,20,20
Leaf.width,Rosa.canina,20,20
Leaf.width,Rosa.laevigata,20,20
Leaf.width,Rosa.roxburghii,20,20
Leaf.width,Rosa.rubiginosa,15,15
Leaf.width,Rumex.bidens,25,25
Leaf.width,Rumex.brownii,40,40
Leaf.width,Rumex.conglomeratus,30,30
Leaf.width,Rumex.crispus,60,60
Leaf.width,Rumex.crystallinus,8,8
Leaf.width,Rumex.dumosus,25,25
Leaf.width,Rumex.obtusifolius,100,100
Leaf.width,Rumex.pulcher,60,60
Leaf.width,Rumex.stenoglottis,12,12
Leaf.width,Rumex.tenax,5,5
Leaf.width,Rytidosperma.caespitosum,2,2
Leaf.width,Rytidosperma.duttonianum,3.5,3.5
Leaf.width,Rytidosperma.indutum,4,4
Leaf.width,Rytidosperma.oreophilum,2,2
Leaf.width,Rytidosperma.richardsonii,2.5,2.5
Leaf.width,Rytidosperma.tenuius,3,3
Leaf.width,Rytidosperma.unarede,3.5,3.5
Leaf.width,Rytidosperma.vickeryae,2,2
Leaf.width,Salvia.aethiopis,120,120
Leaf.width,Salvia.coccinea,35,35
Leaf.width,Salvia.leucantha,20,20
Leaf.width,Salvia.microphylla,20,20
Leaf.width,Salvia.plebeia,20,20
Leaf.width,Salvia.reflexa,12,12
Leaf.width,Salvia.splendens,60,60
Leaf.width,Salvia.verbenaca,80,80
Leaf.width,Secale.cereale,13,13
Leaf.width,Senecio.amygdalifolius,30,30
Leaf.width,Senecio.anethifolius,60,60
Leaf.width,Senecio.angulatus,50,50
Leaf.width,Senecio.bathurstianus,30,30
Leaf.width,Senecio.behrianus,2,2
Leaf.width,Senecio.bipinnatisectus,60,60
Leaf.width,Senecio.biserratus,45,45
Leaf.width,Senecio.crassiflorus,20,20
Leaf.width,Senecio.cunninghamii,20,20
Leaf.width,Senecio.daltonii,15,15
Leaf.width,Senecio.diaschides,25,25
Leaf.width,Senecio.elegans,50,50
Leaf.width,Senecio.garlandii,80,80
Leaf.width,Senecio.glastifolius,25,25
Leaf.width,Senecio.glomeratus,15,15
Leaf.width,Senecio.glossanthus,10,10
Leaf.width,Senecio.gregorii,5,5
Leaf.width,Senecio.gunnii,25,25
Leaf.width,Senecio.hispidulus,30,30
Leaf.width,Senecio.howeanus,12,12
Leaf.width,Senecio.jacobaea,60,60
Leaf.width,Senecio.leptocarpus,10,10
Leaf.width,Senecio.linearifolius,15,15
Leaf.width,Senecio.macranthus,15,15
Leaf.width,Senecio.madagascariensis,10,10
Leaf.width,Senecio.magnificus,30,30
Leaf.width,Senecio.minimus,30,30
Leaf.width,Senecio.pauciradiatus,10,10
Leaf.width,Senecio.pectinatus,15,15
Leaf.width,Senecio.platylepis,20,20
Leaf.width,Senecio.prenanthoides,12,12
Leaf.width,Senecio.pterophorus,15,15
Leaf.width,Senecio.quadridentatus,5,5
Leaf.width,Senecio.runcinifolius,40,40
Leaf.width,Senecio.tamoides,50,50
Leaf.width,Senecio.tenuiflorus,15,15
Leaf.width,Senecio.tuberculatus,30,30
Leaf.width,Senecio.vagus,70,70
Leaf.width,Senecio.velleioides,40,40
Leaf.width,Senecio.vulgaris,30,30
Leaf.width,Setaria.australiensis,20,20
Leaf.width,Setaria.incrassata,14,14
Leaf.width,Setaria.italica,120,120
Leaf.width,Setaria.palmifolia,120,120
Leaf.width,Setaria.parviflora,8,8
Leaf.width,Setaria.paspalidioides,9,9
Leaf.width,Setaria.poiretiana,100,100
Leaf.width,Setaria.pumila,10,10
Leaf.width,Setaria.sphacelata,6,6
Leaf.width,Setaria.surgens,4,4
Leaf.width,Setaria.verticillata,12,12
Leaf.width,Setaria.viridis,10,10
Leaf.width,Silene.apetala,5,5
Leaf.width,Silene.chalcedonica,10,10
Leaf.width,Silene.coronaria,20,20
Leaf.width,Silene.dioica,30,30
Leaf.width,Silene.gallica,10,10
Leaf.width,Silene.latifolia,30,30
Leaf.width,Silene.noctiflora,40,40
Leaf.width,Silene.nocturna,10,10
Leaf.width,Silene.tridentata,10,10
Leaf.width,Silene.uniflora,7,7
Leaf.width,Silene.vulgaris,10,10
Leaf.width,Soliva.anthemifolia,40,40
Leaf.width,Soliva.sessilis,15,15
Leaf.width,Soliva.stolonifera,10,10
Leaf.width,Sonchus.asper,70,70
Leaf.width,Sonchus.hydrophilus,30,30
Leaf.width,Sonchus.oleraceus,120,120
Leaf.width,Stuartina.hamata,12,12
Leaf.width,Stuartina.muelleri,12,12
Leaf.width,Taraxacum.officinale,100,100
Leaf.width,Themeda.avenacea,1.5,1.5
Leaf.width,Themeda.quadrivalvis,13,13
Leaf.width,Themeda.triandra,5,5
Leaf.width,Tragopogon.dubius,10,10
Leaf.width,Tragopogon.porrifolius,15,15
Leaf.width,Tricoryne.anceps,4,4
Leaf.width,Tricoryne.elatior,3.5,3.5
Leaf.width,Tricoryne.simplex,5,5
Leaf.width,Trifolium.alexandrinum,15,15
Leaf.width,Trifolium.ambiguum,30,30
Leaf.width,Trifolium.angustifolium,4,4
Leaf.width,Trifolium.arvense,4,4
Leaf.width,Trifolium.campestre,8,8
Leaf.width,Trifolium.cernuum,1,1
Leaf.width,Trifolium.dubium,7,7
Leaf.width,Trifolium.fragiferum,15,15
Leaf.width,Trifolium.globosum,15,15
Leaf.width,Trifolium.glomeratum,1,1
Leaf.width,Trifolium.hirtum,1,1
Leaf.width,Trifolium.hybridum,18,18
Leaf.width,Trifolium.incarnatum,15,15
Leaf.width,Trifolium.ornithopodioides,8,8
Leaf.width,Trifolium.pratense,15,15
Leaf.width,Trifolium.repens,15,15
Leaf.width,Trifolium.resupinatum,21,21
Leaf.width,Trifolium.scabrum,6,6
Leaf.width,Trifolium.striatum,12.5,12.5
Leaf.width,Trifolium.subterraneum,20,20
Leaf.width,Trifolium.suffocatum,6,6
Leaf.width,Trifolium.tomentosum,9,9
Leaf.width,Trifolium.vesiculosum,15,15
Leaf.width,Triptilodiscus.pygmaeus,4,4
Leaf.width,Verbascum.blattaria,40,40
Leaf.width,Verbascum.sinuatum,150,150
Leaf.width,Verbascum.thapsus,140,140
Leaf.width,Verbascum.virgatum,100,100
Leaf.width,Vittadinia.arida,8,8
Leaf.width,Vittadinia.blackii,1,1
Leaf.width,Vittadinia.cervicularis,10,10
Leaf.width,Vittadinia.condyloides,4,4
Leaf.width,Vittadinia.cuneata,5,5
Leaf.width,Vittadinia.dissecta,20,20
Leaf.width,Vittadinia.eremaea,10,10
Leaf.width,Vittadinia.gracilis,7,7
Leaf.width,Vittadinia.hispidula,10,10
Leaf.width,Vittadinia.pterochaeta,8,8
Leaf.width,Vittadinia.pustulata,7,7
Leaf.width,Vittadinia.sulcata,2.4,2.4
Leaf.width,Vittadinia.tenuissima,0.5,0.5
Leaf.width,Vulpia.bromoides,2,2
Leaf.width,Vulpia.ciliata,2,2
Leaf.width,Wahlenbergia.aridicola,6,6
Leaf.width,Wahlenbergia.ceracea,10,10
Leaf.width,Wahlenbergia.communis,6,6
Leaf.width,Wahlenbergia.densifolia,2,2
Leaf.width,Wahlenbergia.fluminalis,5,5
Leaf.width,Wahlenbergia.glabra,4,4
Leaf.width,Wahlenbergia.gloriosa,15,15
Leaf.width,Wahlenbergia.gracilenta,11,11
Leaf.width,Wahlenbergia.gracilis,10,10
Leaf.width,Wahlenbergia.graniticola,15,15
Leaf.width,Wahlenbergia.insulae-howei,6,6
Leaf.width,Wahlenbergia.littoricola,4,4
Leaf.width,Wahlenbergia.luteola,4,4
Leaf.width,Wahlenbergia.multicaulis,6,6
Leaf.width,Wahlenbergia.planiflora,11,11
Leaf.width,Wahlenbergia.queenslandica,9,9
Leaf.width,Wahlenbergia.scopulicola,5,5
Leaf.width,Wahlenbergia.stricta,13,13
Leaf.width,Wahlenbergia.tumidifructa,12,12
Leaf.width,Wahlenbergia.victoriensis,7,7
Leaf.width,Wurmbea.biglandulosa,2.5,2.5
Leaf.width,Wurmbea.citrina,15,15
Leaf.width,Wurmbea.dioica,4,4
Leaf.width,Wurmbea.latifolia,2,2
Leaf.width,Wurmbea.uniflora,2,2
Max.height,Acaena.agnipila,0.5866666666666667,0.636
Max.height,Acaena.anserovina,0.4,0.4
Max.height,Acaena.echinata,0.4,0.4
Max.height,Acetosella.vulgaris,0.45856410256410257,0.58
Max.height,Aira elegantissima,0.3,0.3
Max.height,Aira.caryophyllea,0.19208333333333333,0.3
Max.height,Aira.cupaniana,0.25625,0.44000000000000006
Max.height,Aira.elegantissima,0.28,0.41999999999999993
Max.height,Aira.praecox,0.2,0.2
Max.height,Aira.provincialis,0.5,0.5
Max.height,Aira.sp,0.26125,0.361
Max.height,Anagallis arvensis,0.2,0.2
Max.height,Anagallis.arvensis,0.15384615384615385,0.2800000000000001
Max.height,Anthosachne.scabra,1.5,1.5
Max.height,Anthoscachne.fertilis,1,1
Max.height,Anthoscachne.multiflora,0.7,0.7
Max.height,Anthoscachne.plurinervis,0.8,0.8
Max.height,Aphanes.arvensis,0.15,0.15
Max.height,Aphanes.australiana,0.1,0.1
Max.height,Aphanes.inexspectata,0.08,0.08
Max.height,Arctotheca.calendula,0.3,0.3
Max.height,Arctotheca.populifolia,0.3,0.3
Max.height,Arenaria.leptoclados,0.125,0.185
Max.height,Arenaria.serpyllifolia,0.3,0.3
Max.height,Aristida.acuta,1.25,1.25
Max.height,Aristida.anthoxanthoides,0.5,0.5
Max.height,Aristida.behriana,0.4,0.4
Max.height,Aristida.benthamii,1,1
Max.height,Aristida.blakei,1,1
Max.height,Aristida.calycina,2,2
Max.height,Aristida.caput-medusae,1,1
Max.height,Aristida.contorta,0.5,0.5
Max.height,Aristida.echinata,1.2,1.2
Max.height,Aristida.gracilipes,1.2,1.2
Max.height,Aristida.helicophylla,1.5,1.5
Max.height,Aristida.holathera,0.6,0.6
Max.height,Aristida.jerichoensis,0.9,0.9
Max.height,Aristida.latifolia,1,1
Max.height,Aristida.leichhardtiana,0.5,0.5
Max.height,Aristida.leptopoda,0.7,0.7
Max.height,Aristida.lignosa,2,2
Max.height,Aristida.longicollis,0.8,0.8
Max.height,Aristida.muricata,1,1
Max.height,Aristida.obscura,0.5,0.5
Max.height,Aristida.personata,1.2,1.2
Max.height,Aristida.platychaeta,0.5,0.5
Max.height,Aristida.psammophila,1.2,1.2
Max.height,Aristida.queenslandica,1.1,1.1
Max.height,Aristida.ramosa,1.2,1.2
Max.height,Aristida.spuria,0.6,0.6
Max.height,Aristida.vagans,0.8,0.8
Max.height,Aristida.vickeryae,0.5,0.5
Max.height,Aristida.warburgii,1.2,1.2
Max.height,Austrostipa.acrociliata,1.5,1.5
Max.height,Austrostipa.aristiglumis,2,2
Max.height,Austrostipa.bigeniculata,0.7152884615384616,1.149
Max.height,Austrostipa.blackii,1,1
Max.height,Austrostipa.densiflora,1.5,1.5
Max.height,Austrostipa.drummondii,1,1
Max.height,Austrostipa.elegantissima,1,1
Max.height,Austrostipa.eremophila,0.9,0.9
Max.height,Austrostipa.flavescens,1.2,1.2
Max.height,Austrostipa.gibbosa,1.5,1.5
Max.height,Austrostipa.mollis,1,1
Max.height,Austrostipa.nitida,0.8,0.8
Max.height,Austrostipa.nivicola,0.5,0.5
Max.height,Austrostipa.nodosa,1,1
Max.height,Austrostipa.platychaeta,2,2
Max.height,Austrostipa.puberula,0.8,0.8
Max.height,Austrostipa.pubescens,1.5,1.5
Max.height,Austrostipa.pubinodis,1,1
Max.height,Austrostipa.ramosissima,2.5,2.5
Max.height,Austrostipa.rudis,1.2,1.2
Max.height,Austrostipa.scabra,0.5231428571428571,0.8220000000000001
Max.height,Austrostipa.semibarbata,1,1
Max.height,Austrostipa.setacea,0.8,0.8
Max.height,Austrostipa.stipoides,1.2,1.2
Max.height,Austrostipa.stuposa,1,1
Max.height,Austrostipa.trichophylla,0.6,0.6
Max.height,Austrostipa.tuckeri,0.5,0.5
Max.height,Austrostipa.verticillata,2,2
Max.height,Avena fatua,4,4
Max.height,Avena.barbata,1.1593408978846154,1.55
Max.height,Avena.byzantina,1.5,1.5
Max.height,Avena.fatua,1.4228048780487805,1.7
Max.height,Avena.ludoviciana,1.5,1.5
Max.height,Avena.sativa,1.0421142857142858,1.5
Max.height,Avena.sterilis,1.5,1.5
Max.height,Avena.strigosa,1.2,1.2
Max.height,Bothriochloa.bladhii,1,1
Max.height,Bothriochloa.decipiens,1,1
Max.height,Bothriochloa.erianthoides,1,1
Max.height,Bothriochloa.ewartiana,0.7,0.7
Max.height,Bothriochloa.insculpta,0.8,0.8
Max.height,Bothriochloa.macra,0.30344736842105263,0.5660000000000001
Max.height,Brachyscome.abercrombiensis,0.3,0.3
Max.height,Brachyscome.aculeata,0.6,0.6
Max.height,Brachyscome.ascendens,0.35,0.35
Max.height,Brachyscome.barkerae,0.2,0.2
Max.height,Brachyscome.brownii,0.3,0.3
Max.height,Brachyscome.casstiana,0.45,0.45
Max.height,Brachyscome.chrysoglossa,0.4,0.4
Max.height,Brachyscome.ciliaris,0.45,0.45
Max.height,Brachyscome.curvicarpa,0.41,0.41
Max.height,Brachyscome.dalbyensis,0.3,0.3
Max.height,Brachyscome.debilis,0.12,0.12
Max.height,Brachyscome.decipiens,0.2,0.2
Max.height,Brachyscome.dentata,0.5,0.5
Max.height,Brachyscome.dissectifolia,0.17,0.17
Max.height,Brachyscome.diversifolia,0.45,0.45
Max.height,Brachyscome.eriogona,0.25,0.25
Max.height,Brachyscome.exilis,0.18,0.18
Max.height,Brachyscome.formosa,0.15,0.15
Max.height,Brachyscome.goniocarpa,0.23,0.23
Max.height,Brachyscome.gracilis,0.1,0.1
Max.height,Brachyscome.graminea,0.7,0.7
Max.height,Brachyscome.lineariloba,0.15,0.15
Max.height,Brachyscome.melanocarpa,0.45,0.45
Max.height,Brachyscome.microcarpa,0.58,0.58
Max.height,Brachyscome.mittagongensis,0.5,0.5
Max.height,Brachyscome.muelleroides,0.14,0.14
Max.height,Brachyscome.multifida,0.45,0.45
Max.height,Brachyscome.nivalis,0.3,0.3
Max.height,Brachyscome.nodosa,0.3,0.3
Max.height,Brachyscome.nova-anglica,0.35,0.35
Max.height,Brachyscome.obovata,0.45,0.45
Max.height,Brachyscome.paludicola,0.6,0.6
Max.height,Brachyscome.papillosa,0.36,0.36
Max.height,Brachyscome.procumbens,0.45,0.45
Max.height,Brachyscome.ptychocarpa,0.16,0.16
Max.height,Brachyscome.radicans,0.3,0.3
Max.height,Brachyscome.readeri,0.13,0.13
Max.height,Brachyscome.rigidula,0.36,0.36
Max.height,Brachyscome.scapigera,0.4,0.4
Max.height,Brachyscome.smithwhitei,0.4,0.4
Max.height,Brachyscome.staceae,0.21,0.21
Max.height,Brachyscome.stuartii,0.25,0.25
Max.height,Brachyscome.tadgellii,0.2,0.2
Max.height,Brachyscome.tenuiscapa,0.26,0.26
Max.height,Brachyscome.trachycarpa,0.4,0.4
Max.height,Brachyscome.watanabei,0.22,0.22
Max.height,Brachyscome.whitei,0.3,0.3
Max.height,Briza.maxima,0.6,0.6
Max.height,Briza.minor,0.4375,0.585
Max.height,Briza.subaristata,0.8,0.8
Max.height,Bromus catharticus,3,3
Max.height,Bromus hordeaceus,0.096,0.096
Max.height,Bromus rubens,0.75,1.19
Max.height,Bromus.alopecuros,0.6,0.6
Max.height,Bromus.arenarius,0.8,0.8
Max.height,Bromus.brevis,0.6,0.6
Max.height,Bromus.catharticus,0.74288,1
Max.height,Bromus.diandrus,0.7430292056,1
Max.height,Bromus.hordeaceus,0.46542641509433963,0.7890000000000003
Max.height,Bromus.madritensis,0.6,0.6
Max.height,Bromus.molliformis,0.9,0.9
Max.height,Bromus.racemosus,1.1,1.1
Max.height,Bromus.rubens,0.37544571428571427,0.494
Max.height,Bromus.secalinus,1,1
Max.height,Bromus.sterilis,0.5,0.5
Max.height,Bromus.tectorum,0.6,0.6
Max.height,Bulbine.alata,0.45,0.45
Max.height,Bulbine.bulbosa,0.4,0.4
Max.height,Bulbine.glauca,1.1,1.1
Max.height,Bulbine.semibarbata,0.5,0.5
Max.height,Bulbine.vagans,0.6,0.6
Max.height,Carduus.nutans,0.7666666666666667,1.18
Max.height,Carduus.pycnocephalus,0.8,0.8
Max.height,Carduus.tenuiflorus,1.5,1.5
Max.height,Carex.appressa,1.2,1.2
Max.height,Carex.archeri,0.25,0.25
Max.height,Carex.arenaria,0.9,0.9
Max.height,Carex.bichenoviana,0.6,0.6
Max.height,Carex.blakei,0.1,0.1
Max.height,Carex.breviculmis,0.35,0.35
Max.height,Carex.brownii,1,1
Max.height,Carex.brunnea,0.8,0.8
Max.height,Carex.buxbaumii,0.7,0.7
Max.height,Carex.canescens,0.3,0.3
Max.height,Carex.capillacea,0.15,0.15
Max.height,Carex.cephalotes,0.2,0.2
Max.height,Carex.chlorantha,0.35,0.35
Max.height,Carex.declinata,1.2,1.2
Max.height,Carex.disticha,1,1
Max.height,Carex.divulsa,0.75,0.75
Max.height,Carex.echinata,0.3,0.3
Max.height,Carex.fascicularis,1,1
Max.height,Carex.gaudichaudiana,0.9,0.9
Max.height,Carex.hebes,0.2,0.2
Max.height,Carex.hubbardii,0.5,0.5
Max.height,Carex.hypandra,0.35,0.35
Max.height,Carex.incomitata,0.9,0.9
Max.height,Carex.inversa,0.43285714285714283,0.54
Max.height,Carex.iynx,1,1
Max.height,Carex.jackiana,0.3,0.3
Max.height,Carex.klaphakei,1.6,1.6
Max.height,Carex.leporina,0.6,0.6
Max.height,Carex.lobolepis,0.9,0.9
Max.height,Carex.longebrachiata,0.8,0.8
Max.height,Carex.lophocarpa,1,1
Max.height,Carex.maculata,0.4,0.4
Max.height,Carex.polyantha,0.8,0.8
Max.height,Carex.pumila,0.5,0.5
Max.height,Carex.raleighii,0.4,0.4
Max.height,Carex.tereticaulis,1.2,1.2
Max.height,Carthamus.dentatus,0.4,0.4
Max.height,Carthamus.lanatus,0.65,0.95
Max.height,Carthamus.tinctorius,0.6,0.6
Max.height,Centaurium.erythraea,0.21583333333333335,0.5
Max.height,Centaurium.tenuifolia,0.4,0.4
Max.height,Cerastium glomeratum,0.059,0.059
Max.height,Cerastium.glomeratum,0.24864705882352942,0.4302
Max.height,Cheilanthes.austrotenuifolia,0.3,0.3
Max.height,Cheilanthes.distans,0.3,0.3
Max.height,Cheilanthes.lasiophylla,0.24,0.24
Max.height,Cheilanthes.sieberi,1.25,1.25
Max.height,Chenopodium.pumilio,0.5,0.74
Max.height,Chloris.divaricata,0.2,0.2
Max.height,Chloris.gayana,1.2,1.2
Max.height,Chloris.pectinata,1.4,1.4
Max.height,Chloris.truncata,0.475,0.495
Max.height,Chloris.ventricosa,1,1
Max.height,Chloris.virgata,1.2,1.2
Max.height,Chondrilla juncea,1,1
Max.height,Chondrilla.juncea,0.588,0.97
Max.height,Cicendia.filiformis,0.15,0.15
Max.height,Cicendia.quadrangularis,0.08,0.08
Max.height,Cirsium.arvense,1,1
Max.height,Cirsium.vulgare,1.2166666666666666,1.98
Max.height,Convolvulus.erubescens,0.28363636363636363,0.47
Max.height,Conyza.bilbaoana,2,2
Max.height,Conyza.bonariensis,0.53,1
Max.height,Conyza.canadensis,1.5,1.5
Max.height,Conyza.leucantha,2,2
Max.height,Conyza.parva,0.5,0.5
Max.height,Conyza.primulifolia,0.8,0.8
Max.height,Conyza.sumatrensis,2,2
Max.height,Cotula.australis,0.1,0.1
Max.height,Cotula.bipinnata,0.1,0.1
Max.height,Cotula.coronopifolia,0.2,0.2
Max.height,Crassula.colorata,0.15,0.15
Max.height,Crassula.decumbens,0.1,0.1
Max.height,Crassula.helmsii,0.12,0.12
Max.height,Crassula.multicava,0.4,0.4
Max.height,Crassula.peduncularis,0.06,0.06
Max.height,Crassula.sarmentosa,0.8,0.8
Max.height,Crassula.sieberiana,0.2,0.2
Max.height,Crassula.tetragona,0.5,0.5
Max.height,Crepis.capillaris,0.75,0.75
Max.height,Crepis.foetida,0.5,0.5
Max.height,Crepis.setosa,0.8,0.8
Max.height,Cymbonotus.lawsonianus,0.3,0.3
Max.height,Cymbonotus.maidenii,0.4,0.4
Max.height,Cynodon dactylon,1.4,1.4
Max.height,Cynodon.dactylon,0.25056,0.4
Max.height,Cynodon.incompletus,0.3,0.3
Max.height,Cynodon.transvaalensis,0.1,0.1
Max.height,Cynoglossum.australe,0.75,0.75
Max.height,Cynoglossum.creticum,0.7,0.7
Max.height,Cynoglossum.suaveolens,0.308,0.45199999999999996
Max.height,Dactylis glomerata,1.925,2.7849999999999997
Max.height,Dactylis.glomerata,1.4,1.4
Max.height,Daucus.carota,1.5,1.5
Max.height,Daucus.glochidiatus,0.4,0.5599999999999999
Max.height,Desmodium.acanthocladum,1,1
Max.height,Desmodium.brachypodum,0.6,0.6
Max.height,Desmodium.campylocaulon,1,1
Max.height,Desmodium.gangeticum,2,2
Max.height,Desmodium.gunnii,0.4,0.4
Max.height,Desmodium.heterocarpon,1.8,1.8
Max.height,Desmodium.intortum,1.5,1.5
Max.height,Desmodium.nemorosum,1,1
Max.height,Desmodium.rhytidophyllum,1,1
Max.height,Desmodium.uncinatum,1.5,1.5
Max.height,Desmodium.varians,0.30214285714285716,0.452
Max.height,Dichanthium.annulatum,1,1
Max.height,Dichanthium.aristatum,1,1
Max.height,Dichanthium.sericeum,1.2,1.2
Max.height,Dichanthium.setosum,1,1
Max.height,Dichanthium.tenue,1,1
Max.height,Digitaria.aequiglumis,0.7,0.7
Max.height,Digitaria.ammophila,0.8,0.8
Max.height,Digitaria.breviglumis,0.7,0.7
Max.height,Digitaria.brownii,0.7,0.78
Max.height,Digitaria.ciliaris,1,1
Max.height,Digitaria.coenicola,0.8,0.8
Max.height,Digitaria.didactyla,0.4,0.4
Max.height,Digitaria.diffusa,0.7,0.7
Max.height,Digitaria.divaricatissima,0.8,0.8
Max.height,Digitaria.hubbardii,0.4,0.4
Max.height,Digitaria.hystrichoides,0.8,0.8
Max.height,Digitaria.ischaemum,0.4,0.4
Max.height,Digitaria.leucostachya,1,1
Max.height,Digitaria.longiflora,0.7,0.7
Max.height,Digitaria.orbata,0.9,0.9
Max.height,Digitaria.parviflora,1.5,1.5
Max.height,Digitaria.porrecta,0.6,0.6
Max.height,Digitaria.ramularis,1,1
Max.height,Digitaria.sanguinalis,1,1
Max.height,Digitaria.ternata,0.5,0.5
Max.height,Digitaria.velutina,0.8,0.8
Max.height,Digitaria.violascens,0.6,0.6
Max.height,Drosera.arcturi,0.1,0.1
Max.height,Drosera.auriculata,0.2,0.2
Max.height,Drosera.binata,0.3,0.3
Max.height,Drosera.burmanni,0.15,0.15
Max.height,Drosera.capensis,0.15,0.15
Max.height,Drosera.glanduligera,0.05,0.05
Max.height,Drosera.indica,0.5,0.5
Max.height,Drosera.peltata,0.5,0.5
Max.height,Drosera.pygmaea,0.045,0.045
Max.height,Echium plantagineum,0.017,0.017
Max.height,Echium.italicum,0.8,0.8
Max.height,Echium.plantagineum,0.49583333333333335,0.6630000000000001
Max.height,Echium.vulgare,0.9,0.9
Max.height,Eleusine.indica,0.8,0.8
Max.height,Eleusine.tristachya,0.4,0.4
Max.height,Enneapogon.nigricans,0.5,0.5
Max.height,Enneapogon.nigricans.avenaceus,0.5,0.5
Max.height,Enneapogon.nigricans.cylindricus,0.5,0.5
Max.height,Enneapogon.nigricans.gracilis,0.7,0.7
Max.height,Enneapogon.nigricans.intermedius,0.7,0.7
Max.height,Enneapogon.nigricans.lindleyanus,0.5,0.5
Max.height,Enneapogon.nigricans.polyphyllus,0.6,0.6
Max.height,Enneapogon.nigricans.truncatus,0.6,0.6
Max.height,Enneapogon.nigricans.virens,0.6,0.6
Max.height,Epilobium.billardierianum,1,1
Max.height,Epilobium.ciliatum,2,2
Max.height,Epilobium.curtisiae,0.15,0.15
Max.height,Epilobium.gunnianum,0.8,0.8
