species,trait,mean,max
Linaria.pelisseriana,Max.height,0.39999999999999997,0.6199999999999999
Lolium.perenne,Leaf.width,5,5
Lolium.perenne,Max.height,0.433112,0.8360000000000001
Lolium.perenne,SLA,27.461685635227273,35.05033985000001
Lomandra.bracteata,Leaf.length,30,30
Lomandra.bracteata,Leaf.width,2,2
Lomandra.bracteata,Vegetative.width,0.2,0.2
Lomandra.filiformis,Max.height,0.27130952380952383,0.35899999999999993
Lomandra.filiformis,SLA,5.398061786380953,6.951255605
Lomandra.filiformis,Vegetative.height,0.27130952380952383,0.35899999999999993
Lomandra.filiformis,Vegetative.width,0.3273478260869565,0.524
Lythrum.hyssopifolia,Leaf.length,2.5,2.5
Lythrum.hyssopifolia,Leaf.width,6,6
Lythrum.hyssopifolia,Max.height,0.245,0.5199999999999999
Lythrum.hyssopifolia,SLA,24.2075,25.120000000000005
Malva.parviflora,Leaf.width,100,100
Malva.parviflora,Max.height,0.5,0.5
Marrubium.vulgare,Leaf.length,3.5,3.5
Marrubium.vulgare,Leaf.width,30,30
Marrubium.vulgare,Max.height,0.435,0.6
Marrubium.vulgare,SLA,14.2,14.2
Microlaena.stipoides,Max.height,0.2548148148148148,0.39800000000000013
Microlaena.stipoides,SLA,13.394264965,15.11669544
Microlaena.stipoides,Vegetative.height,0.22923076923076924,0.365
Microlaena.stipoides,Vegetative.width,0.22833333333333333,0.33599999999999997
Microtis.unifolia,Leaf.length,60,60
Microtis.unifolia,Max.height,0.6,0.6
Moenchia.erecta,Leaf.length,1.2,1.2
Moenchia.erecta,Leaf.width,2.5,2.5
Moenchia.erecta,Max.height,0.07125,0.11800000000000001
Myosotis.discolor,Leaf.length,4,4
Myosotis.discolor,Leaf.width,8,8
Myosotis.discolor,Max.height,0.16545454545454547,0.3
Myosotis.discolor,SLA,33.12714285714286,46.6
Nassella.trichotoma,Leaf.width,0.5,0.5
Nassella.trichotoma,Max.height,0.7,0.7
Orobanche.minor,Leaf.length,1.5,1.5
Orobanche.minor,Leaf.width,3,3
Orobanche.minor,Max.height,0.3318181818181818,0.6
Oxalis.perennans,Leaf.length,1,1
Oxalis.perennans,Leaf.width,6,6
Oxalis.perennans,Max.height,0.14875,0.199
Oxalis.perennans,Vegetative.height,0.13,0.157
Oxalis.perennans,Vegetative.width,0.07375000000000001,0.101
Panicum.capillare,Leaf.width,18,18
Panicum.capillare,Max.height,0.8,0.8
Panicum.effusum,Leaf.width,6,6
Panicum.effusum,Max.height,0.2653846153846154,0.5400000000000003
Panicum.effusum,SLA,12.454046851625,15.519820207999999
Panicum.effusum,Vegetative.height,0.13636363636363635,0.19
Panicum.effusum,Vegetative.width,0.20090909090909093,0.3
Parentucellia.latifolia,Leaf.length,1.5,1.5
Parentucellia.latifolia,Leaf.width,7,7
Parentucellia.latifolia,Max.height,0.16125,0.27
Paronychia.brasiliana,Leaf.length,0.8,0.8
Paronychia.brasiliana,Leaf.width,2,2
Paspalum.dilatatum,Leaf.width,12,12
Paspalum.dilatatum,Max.height,1.47,1.8659999999999999
Paspalum.dilatatum,SLA,17.245717715,17.746683135
Paspalum.dilatatum,Vegetative.height,0.615,0.6829999999999999
Paspalum.dilatatum,Vegetative.width,1.4,1.48
Pentaschistis.airoides,Leaf.width,1.5,1.5
Pentaschistis.airoides,Max.height,0.3,0.3
Petrorhagia.nanteuilii,Leaf.length,7,7
Petrorhagia.nanteuilii,Leaf.width,2,2
Petrorhagia.nanteuilii,Max.height,0.463125,0.6194999999999999
Petrorhagia.nanteuilii,Vegetative.height,0.38625,0.5
Petrorhagia.nanteuilii,Vegetative.width,0.0375,0.06100000000000001
Phalaris.aquatica,Leaf.width,14,14
Phalaris.aquatica,Max.height,1.0732,1.3596
Phalaris.aquatica,Vegetative.height,0.845,0.909
Phalaris.aquatica,Vegetative.width,0.065,0.087
Plantago.lanceolata,Leaf.length,20,20
Plantago.lanceolata,Leaf.width,30,30
Plantago.lanceolata,Max.height,0.341646632475,0.6020000000000001
Plantago.lanceolata,SLA,16.013746611271028,24.763180490000003
Plantago.lanceolata,Vegetative.height,0.1882875,0.3
Plantago.lanceolata,Vegetative.width,0.22222916666666667,0.3460000000000001
Plantago.varia,Leaf.length,20,20
Plantago.varia,Leaf.width,20,20
Poa.sieberiana,Leaf.width,0.7,0.7
Poa.sieberiana,Max.height,0.99875,1.049
Poa.sieberiana,SLA,5.698930055,5.8137129134
Poa.sieberiana,Vegetative.height,0.52,0.566
Poa.sieberiana,Vegetative.width,0.6033333333333333,0.7879999999999999
Pseudognaphalium.luteoalbum,Leaf.length,5,5
Pseudognaphalium.luteoalbum,Leaf.width,5,5
Pseudognaphalium.luteoalbum,Max.height,0.45,0.45
Rosa.rubiginosa,Leaf.length,2.5,2.5
Rosa.rubiginosa,Leaf.width,15,15
Rosa.rubiginosa,Max.height,1.75,2.5
Rosa.rubiginosa,SLA,11.216666666666667,13.108
Rumex.brownii,Leaf.length,12,12
Rumex.brownii,Leaf.width,40,40
Rumex.brownii,Max.height,0.734,0.992
Rumex.brownii,SLA,12.92,12.92
Rumex.brownii,Vegetative.height,0.45666666666666667,0.624
Rumex.brownii,Vegetative.width,0.18000000000000002,0.274
Rumex.obtusifolius,Leaf.length,23,23
Rumex.obtusifolius,Leaf.width,100,100
Rumex.obtusifolius,Max.height,0.65428,1.2
Rumex.obtusifolius,SLA,31.3609650925,45.379999999999995
Rytidosperma.sp,Leaf.length,18.4,18.4
Rytidosperma.sp,Leaf.width,2,2
Rytidosperma.sp,Max.height,0.50125,0.5364
Rytidosperma.sp,Vegetative.height,0.20714285714285716,0.23600000000000002
Salvia.verbenaca,Leaf.length,10,10
Salvia.verbenaca,Leaf.width,80,80
Salvia.verbenaca,Max.height,0.5449999999999999,0.6689999999999999
Salvia.verbenaca,Vegetative.height,0.2,0.2
Salvia.verbenaca,Vegetative.width,0.13,0.13
Schoenus.apogon,Leaf.length,15,15
Schoenus.apogon,Max.height,0.25,0.25
Secale.cereale,Leaf.width,13,13
Secale.cereale,Max.height,1.3028,1.75
Setaria.parviflora,Leaf.length,25,25
Setaria.parviflora,Leaf.width,8,8
Setaria.parviflora,Max.height,1.2,1.2
Silene.gallica,Leaf.length,3.5,3.5
Silene.gallica,Leaf.width,10,10
Silene.gallica,Max.height,0.2916666666666667,0.44299999999999995
Silene.gallica,SLA,34.74,43.163999999999994
Soliva.sessilis,Leaf.length,5,5
Soliva.sessilis,Leaf.width,15,15
Sonchus.asper,Leaf.length,20,20
Sonchus.asper,Leaf.width,70,70
Sonchus.asper,Max.height,0.6655416666666667,1.3499999999999996
Sonchus.asper,SLA,24.973895913333333,34.8
Sonchus.oleraceus,Leaf.length,35,35
Sonchus.oleraceus,Leaf.width,120,120
Sonchus.oleraceus,Max.height,0.8220588235294117,1.5
Sonchus.oleraceus,SLA,35.99370140655556,48.49999999999997
Stuartina.muelleri,Leaf.length,1.8,1.8
Stuartina.muelleri,Leaf.width,12,12
Stuartina.muelleri,Max.height,0.12,0.12
Taraxacum.officinale,Leaf.length,40,40
Taraxacum.officinale,Leaf.width,100,100
Taraxacum.officinale,Max.height,0.505,0.598
Taraxacum.officinale,Vegetative.height,0.08,0.10999999999999999
Taraxacum.officinale,Vegetative.width,0.23,0.266
Themeda.triandra,Leaf.width,5,5
Themeda.triandra,Max.height,1.2,1.2
Tolpis.barbata,Leaf.length,11,11
Tolpis.barbata,Max.height,0.6,0.6
Tragopogon.dubius,Leaf.length,50,50
Tragopogon.dubius,Leaf.width,10,10
Tragopogon.dubius,Max.height,0.7177809523809524,1.05
Tragopogon.dubius,SLA,21.904975980833335,26.857000000000003
Tragopogon.dubius,Vegetative.height,0.7988999999999999,1.057
Tragopogon.dubius,Vegetative.width,0.2549,0.30199999999999994
Tricoryne.elatior,Leaf.length,10,10
Tricoryne.elatior,Leaf.width,3.5,3.5
Tricoryne.elatior,Max.height,0.417,0.45799999999999996
Tricoryne.elatior,Vegetative.height,0.325,0.389
Tricoryne.elatior,Vegetative.width,0.49,0.537
Trifolium.angustifolium,Leaf.length,5,5
Trifolium.angustifolium,Leaf.width,4,4
Trifolium.angustifolium,Max.height,0.30166666666666664,0.55
Trifolium.angustifolium,SLA,20.42693845,23.524652279999998
Trifolium.arvense,Leaf.length,2,2
Trifolium.arvense,Leaf.width,4,4
Trifolium.arvense,Max.height,0.16483,0.2510000000000001
Trifolium.arvense,SLA,17.90977910875,20.754763009
Trifolium.arvense,Vegetative.height,0.15810227272727273,0.24299999999999997
Trifolium.arvense,Vegetative.width,0.03338461538461538,0.029000000000000005
Trifolium.campestre,Leaf.length,1.6,1.6
Trifolium.campestre,Leaf.width,8,8
Trifolium.campestre,Max.height,0.2783076923076923,0.4800000000000001
Trifolium.campestre,SLA,27.083333333333332,30.8
Trifolium.dubium,Leaf.length,1,1
Trifolium.dubium,Leaf.width,7,7
Trifolium.dubium,Max.height,0.24419047619047618,0.371
Trifolium.dubium,SLA,28.722991658461538,35.664
Trifolium.dubium,Vegetative.height,0.08499999999999999,0.089
Trifolium.dubium,Vegetative.width,0.015,0.015
Trifolium.glomeratum,Leaf.length,1.5,1.5
Trifolium.glomeratum,Leaf.width,1,1
Trifolium.glomeratum,Max.height,0.13411111111111113,0.25
Trifolium.repens,Leaf.length,4,4
Trifolium.repens,Leaf.width,15,15
Trifolium.scabrum,Leaf.length,1.1,1.1
Trifolium.scabrum,Leaf.width,6,6
Trifolium.scabrum,Max.height,0.08625,0.111
Trifolium.scabrum,Vegetative.height,0.07925,0.097
Trifolium.scabrum,Vegetative.width,0.036250000000000004,0.05950000000000001
Trifolium.striatum,Leaf.length,2.1,2.1
Trifolium.striatum,Leaf.width,12.5,12.5
Trifolium.striatum,Max.height,0.205,0.33999999999999986
Trifolium.striatum,SLA,21.396153846153847,23.826
Trifolium.subterraneum,Leaf.length,2,2
Trifolium.subterraneum,Leaf.width,20,20
Trifolium.subterraneum,Max.height,0.09691333333333334,0.15716000000000008
Trifolium.subterraneum,SLA,25,25
Trifolium.subterraneum,Vegetative.height,0.077,0.13
Trifolium.subterraneum,Vegetative.width,0.09615384615384616,0.128
Triptilodiscus.pygmaeus,Leaf.length,2,2
Triptilodiscus.pygmaeus,Leaf.width,4,4
Triptilodiscus.pygmaeus,Max.height,0.08,0.08
Verbascum.thapsus,Leaf.length,50,50
Verbascum.thapsus,Leaf.width,140,140
Verbascum.thapsus,Max.height,1.0205882352941176,2
Verbascum.thapsus,SLA,16.91821751333333,24.89915254
Verbascum.thapsus,Vegetative.height,0.23333333333333334,0.286
Verbascum.thapsus,Vegetative.width,0.43666666666666665,0.508
Verbascum.virgatum,Leaf.length,30,30
Verbascum.virgatum,Leaf.width,100,100
Verbascum.virgatum,Max.height,0.825,1.5
Verbascum.virgatum,SLA,13.1,13.1
Verbascum.virgatum,Vegetative.height,0.125,0.145
Verbascum.virgatum,Vegetative.width,0.35,0.39
Vittadinia.cuneata,Leaf.length,2.5,2.5
Vittadinia.cuneata,Leaf.width,5,5
Vittadinia.cuneata,Max.height,0.4,0.4
Vittadinia.muelleri,Leaf.length,4.5,4.5
Vulpia.sp,Leaf.length,12.5,12.5
Vulpia.sp,Leaf.width,2,2
Vulpia.sp,Max.height,0.3482710918252599,0.48733333333333334
Vulpia.sp,SLA,21.621666666666666,29.31
Vulpia.sp,Vegetative.height,0.30502498530276306,0.423
Vulpia.sp,Vegetative.width,0.006257407407407408,0.0104
Wahlenbergia.communis,Leaf.length,8,8
Wahlenbergia.communis,Leaf.width,6,6
Wahlenbergia.communis,Max.height,0.675,0.735
Wahlenbergia.communis,SLA,23.92,23.92
Wahlenbergia.luteola,Leaf.length,6,6
